Link,Title,Valid
https://www.facebook.com/DailyProthomAlo/posts/2989254537774279?__xts__%5B0%5D=68.ARD05Odk1q9blNHQXmoT1O7b4kmTPv6J-Fgb6xMNf3WDgQyFiSlNOI4Vh3NZft1LEzJ_rGUdDKNEoFe0aGcG06wf2GVM1qWcVuow8ZHF7iit0nTkOVHRVak_zuiIs78Wa2t74O3H3L0ZE0j7THk9pGDjD7_qJW3YQ2BqVKNn064Wx2KpIhlUTUIrPoly1S7Fin766D0AAswKpCL4Y7DOMm3Cu-oSYPnNAZByWE673IS0iMaFC8mMPCgFCF9hEMlGBNtjANqkAyeTnZKmez6oAIGrM5xvpEJm-PvUZoLBAjqhrYh6u0mOeyCoXFwqE8liTFnn-jkrf4FiiIoQaMfKUKOZNg&__tn__=-R,???? ?????? ????? ?????? ?? ???????,agree
https://www.facebook.com/DailyProthomAlo/posts/2993062547393478?__xts__%5B0%5D=68.ARCvHfuJpQCzDKSWwgIwdC9dhMJqEbPc9HZBoGFR7Z3JsRCBRithXeDumyauOM9_eA9X1o7eStmLycUYFtMBg0oEHfjSwcJW7WZr7TgJsX6vHTHPC-kmLaHkl-2n4upJ24FhBcIBOkpxZ-T52ia-tX59Av-wnpQGW2SI9_qAH-OB-nSAoUN3wdFOTIyU09fLow6axTVtwGug5g12nUbbeRRASrve1fn1A93113nGtt-ETRDo9f3Q9acpaWRrYcl1nVDK27o9cEDDH2kANl7BcOalqWTTgc8r_JGYVDJAKi5ICclkfV-lMdCpNZOt7ckyCQgBvkKBC3o3HAChNhkFFF_yXQ&__tn__=-R,??????? ????????? ????? ???????? ?.???–????,agree
https://www.facebook.com/DailyProthomAlo/posts/2992984930734573?__xts__%5B0%5D=68.ARB5LBLVQtPDETGh8fA1-eOb4iur6I-FkxU8rDHou2ZaEofXWfchCCLZGXMbcilQZqKUXuy92pEG23aorhl_esYbXamCj6k5Q2BadJto-RNiK6fmzvOs3_3p5Y37obvcF-OT7ZZPzF6H4pJGeYIE8zuLC6mC88HrLDX_nQ3Ps8_7K5aYVNROGyt4ILpv8pnFpAlYapkB6cRPGPyo4V5Okyp9vY6SU3l1Q7xpYPb8HyaNMcNhcsrZ9lxR3Ql5WFowert4vcNcGZLzvEvyE6VCNzdi0B2HIxkaRMWTD3DjaWDIrp0sjQLGeG8HFaup5UfywFQVxG3sp_ErtsouUsV17ijRdQ&__tn__=-R,"
?????? ???? ???????? ?????? ?????? ???? ?????, ????????? ???? ???????",agree
https://www.facebook.com/DailyProthomAlo/posts/2992988594067540?__xts__%5B0%5D=68.ARC94Km-aIF7egLg1af061ymAGwkU8SdJUk_14yFY1ZW5SbiAPTT1VBRfQFNcc_khA4ZIkGyCGL39SURFlrBjm2azwCgOME93fF_Ua8BNt6tao_h6xU_6mNZqSPvMHw89fqnoL5YirXe8RGd42IZg01-9zbwn87U7hvyVJ2dQSnjIpvMi93zWb7ycJgK0hTbsZZR3MBhkT5paO-emlh5fUwGlzjkardWj3k-nksm7KXf3a1_mc265fdEGuZVWpxDXSoCEqfCSZjXjQXCiDzuc88PquPQQJS8NEpxof1SkbDkzba341NAKITsWlNo7hAiK2wxoYjAUzI9Eprw_3A7dvbxQA&__tn__=-R,"?????? ????, ??????? ??????? ????? ??? ???????",agree
https://www.facebook.com/DailyProthomAlo/posts/2992980824068317?__xts__%5B0%5D=68.ARDBj7jlU_Ym06vhk-12PAHI5gn1VQT7SAiZOMoMrpb8mzYh5ESSR4cy38TwfIvwiQ3BQb8QyvaubA80K7hUEJxcLG00gR--0a4FMiYCHVUXpO7t1JLa-JsAl7Ne0dbFM_gDeXAMR2ecMMwQLSIVkSQm60n7TT9fr73DiRI5UTGggjWeiQgUGrpKsBVFdJfZ-o91jceTQxqY-dcidaJh65Wa-PjJrcVroIz-B2IBhc-JeuNhiCM8jeK3rNPItWty5L2x271A3wNAqddQOxVNUvWQdfTKT6y--BTcrQQrgglO5IgPP-044MwMf3AF2RovE_BXOI3q_WmTrJ5WKM9sgy05Mg&__tn__=-R,"
?????????? ???? ?? ????? ?????? ????? ??????",Discusses
https://www.facebook.com/DailyProthomAlo/posts/2992932544073145?__xts__%5B0%5D=68.ARAEgILBVMjgmBZsGnXU-hlxXIh3pnugrt0RhCud9uDl9fH2ESI91mk1fuH4b7m55E1rgKwJCcKd3tDBABMb4dM_2l3tDEQwJv4xCh7lspTCpJaCAceA9mrOqCWo5whSfjgu3lJvRp-_y7v4qM_rXrWylEV9W05_9hpoADyAHqAeHfGO2bY0RgTj5u2GF7dqI0j85SQPIuGbdZpgaq8zPDozKS9ICDO1m4I8hFtItY6l-BdE_ZWE0TAlECouxIYKoJme3sYNBZzDcXrITwdO2Bk8RUAnBZkVaJNkH6BFgYdm7NEl7b6RzDIHKTbPTIKRAnMbIoJoR0q4lSLDfeE6CvjMqg&__tn__=-R,"
??????? ??? ???? ??? ???? ???? ??? ?? ???????",agree
https://www.facebook.com/DailyProthomAlo/posts/2992849347414798?__xts__%5B0%5D=68.ARArZFMFzX4Ey1k333GQpJoPQ8pBFwasJA3jCXXWUbdlNdXBw1amLOinusqO9XHVlg2GUTE4a8DDI7E6fPnSxPb9-xOG7qlN_ZGZf-6vbU2Xt4J4zU_HtBYmUFYi6durtlJ__Vm1RtCYg2NU7hjSoWMd4vPgpLoLxcW-o0mt8skIAkovLTd7OPn943Xy-Ih92hE_z9mKADLSQnCn-iVZN6txEUvHrVwVglEUY6Bep_2kp6nltcL47DfBIQVVzIdeTZkkMHyvpsr045N38S1x9BOG_9bhPqCLht5XV2ONZUBtOh8dpPYNgv5fVonDIM-iQAuK5s0MHzf_gR_LPvUZtEQ-5A&__tn__=-R,"???? ??????, ??????? ??????",Discusses
https://www.facebook.com/DailyProthomAlo/posts/2992841920748874?__xts__%5B0%5D=68.ARCRHXeuLimC1Su629483wVDRJPHuDnJz61H3xgve5pi5o6BSvhEZ09HSHXEcAYNYsFDt9OhssIZGF_Tf61-BVmO0AX5DeHrt1B1tRpcAvjKzDbJ_KjUL0sveJmXHal8X9_wDnyNJcbHb6c6e_yhkX1_JT_JX2lXoFPCG3Hag-xHzhY8_GUlbR7hf5f7mMD-3IYnLTI11L-lGdLNm2P9538rKbb1O1-OTG2x1n_Z04xFZtMFHw4ClT6PhtBL13GFqbLFQ7djpW2_b4-FlQy2LUkTKYgvTEQFEClCzefheDv9z-_5MKqhp_BFx8yqaoQdiG7nN0vEWiJTOep34M54onfOKA&__tn__=-R,"
????? ????? ?? ????????? ???????? ?????",agree
https://www.facebook.com/DailyProthomAlo/posts/2992835250749541?__xts__%5B0%5D=68.ARBe-CyxpwWnbdmXDgniGeVIG9GumCK-qfOv4ShgCSlVSWFYFRpHX3sgjjllt5ZB4tsK9zArnRQdu0QsMHGDArObd1ebrHXA8Eo7WfsBKxgFikfXlL5U8eA4B8Ef4sQkuw4EI3xEQ4k-nDE9R7mrHJQryQNxpStSQ-dxrRtjEsJDCPN9mxi-vEqpSAw-F2OTgQ7fZ5M8sZmlTyV73l7Up9A7WCyOjw3jwoc2yxtJ1jrP9ahQ9deEqJbMaiANu4Z6TjwZ5CA6rkC567SzA4Ay7qEk07UALQLRFAteazq8ubYc988gyP5Lx9iZFuATWD4ekimeDnG_uqb33mNmAutBlh-6Mg&__tn__=-R,"
????????? ????? ??? ???? ???? ???????? ?????",Discusses
https://www.facebook.com/DailyProthomAlo/posts/2992823210750745?__xts__%5B0%5D=68.ARDehQKnmBlky0HPYSSoV4EXhisjhRjXgNWzyIM7dbiMnPsTzVxMgq8UfvsPCW-0IfVDOcfcNtYkp8dS1_yS3jVG1sfBJkUKMuxAy06XTB2vICfAzaWnbOo16pO3M7nKBaNDOvot1oshvKCX8oTHu_lpO_9qBptZstOsIVBAvvyKGVOSj6CAZhzPECOFlTOMBEwymOj9j0jBSUI0ClDOtTYoH5HWpSqmF17tgd4WXzZfNd95SlYlvE8mlX9JmdTVzp9x5mcpguaDRHfYeRlXelJZQEEU0qR6J6mLcsZqMC6liQgs1Hu1cy-MK9DC4K2IItTjTtnch5eCXmIFFzssWXyV3w&__tn__=-R,????-?????? ????? ???? ???? ????,Discusses
https://www.facebook.com/DailyProthomAlo/posts/2992816780751388?__xts__%5B0%5D=68.ARAHYlMR7tZ6hTm-cEsZ7QmxT7hipbSHNodLHTpuGr_M8tpu_xMxOUOm_xXct5Yi-QxSAOACQQwpU7k4cXTSPcW34yZs3FqQtsJrvY70JJTpppLfKLhonlO5glBovV9_3ZkRZg97VfXykjFxTxMCzDqHRM0vRZONtJzZMwEPyrpRU9hQvRGGYvhRKaCe6K2Ar25FKfhp7Q30KgsMI2-Jh6Fe3Aayhue3ZCPoAIMxCylaBNqwku_1kMXbz-Y3E7XPsEn6bcAo1MroKNZL6gFnnJPAP5IJ_7G1Ws_jBUB4tzizNoejHKFwE05zJ7J-Pl6YXIKIzRE_EA9YGGa4DpQUo20JAw&__tn__=-R,????? ?????? ???????? ?? ????????? ????? ??????,Discusses
https://www.facebook.com/DailyProthomAlo/posts/2992690854097314?__xts__%5B0%5D=68.ARDumDCzr3ikWdyE9u8Fr8H12upzA894gLZf0rfbhYaCSFdzpwQAAgWCPIweQnOffn1fNy22QKLLCqmumoWB7de1PNOVXkgYYn6Iea-u4yFaJlHs6HS5TWXT_vLA36HRFvaHKY441a2oliJoPRAvPlkpbHNIKiyKmUKWkm0ZAffTzr0WRiCsi505J9Rn8UL-20t9NN7scU9n0lN-CwVMWTim_xrAXp4bkeqdKQVRECBhXPA1gbCSA5tbXmsctTkH7If4_MKMUKmiDPgz_rh6wS9FGV4p4aJrkoRQTV5p-TVL-nKG4Y2sbOnHrIgfmqYMelIX5dqvJM46erVgaTwDS73yIw&__tn__=-R,"
??????? ?????????? ???? ??? ??? ??????",agree
https://www.facebook.com/DailyProthomAlo/posts/2992668510766215?__xts__%5B0%5D=68.ARB4P6cVqt6zjBRLaTkyjlk7BYMMRCrADe1yXbrx0PHAscOX_CznaclC4gajrzs0xixCHJDrwjKfJJnvXJiQNYLI4pmuhFivUFNh9Efo8PLiyRscYnbwaUtymiEHPl2n_tZV8rwiLVoCE3e2nyRtbvsXNcundkNhdOGr5hyYD1j9kZhTIdl8-qs6ZE5kxkCtjwvxPrZ0e0ug9lqgHeVUz_PuOQELDM0H6HHRn9iX_sGetGdN0PDqh0LiUUI35tYpTdXt3_eYaQTIJgKU5Vp2HJkmn7_uhs2SITF3Nxl3rPhxZilQogmPrjfJr4XBJeLdkwRfSa2jKEjZwbbq4Cgh5CN0MA&__tn__=-R,"
???????? ???? ????? ??? ??????",agree
https://www.facebook.com/DailyProthomAlo/posts/2992651684101231?__xts__%5B0%5D=68.ARCbX9If28GBIaV9RtqorJVh31ZUKH8EVD3aAIe5iBrp9sr8SCf6jxcupndQA6V2teYRhdFd918xXkjB0Ywh9jkBAhdJeQKNBJndizGcO6TULcEigpB05N6-lLMuAK223rBPZR4ic4LBrLPEyjG5W_X3teI-wLXle8XuSxGNGHAWG_a9LKNizDPsCBBvzxdyDuaTlw6gftHkSocAYvwfiZm3aoSg43CXNR_gbIFhbLChR7rNsu_NowGCF8EedMVWV5YPT830NY1EogltNadxxdJbNaYmSc1QOnjWZ6foYbrgsg1AEOp9B4fDHLC9oRciAZZSghE3eLVVjVAYeZT0GRWUiw&__tn__=-R,"
????????? ?????? ???????: ??? ? ????? ?????????",agree
https://www.facebook.com/DailyProthomAlo/posts/2992631147436618?__xts__%5B0%5D=68.ARDsnfzE3xT1aNCg-dcRCTj69uW5Bz-Y2PvDmeeSUKUP0tfWJV57ETsdM7OxSx6GPbCDQZ56unMvpZS7FbKwj5NibmrSW19iJV-MvUr3QzMChJAYZXVmR_xjdOy2qcJzvbM_PKwNL55Huch-jITcdmekwzFsS8yPwca6R9-7I00xXxSPrPLNXDXnnBbyUTu9vSoSfsBn3VXAhqXzb8iVZyPBHqFTfHB3F_cwuyGbznFy8WDgdPnKyw-mHrh8BRp_9GUaofOR0b0T0Lal702yDmWz11nISpWhUeWggI8L8mK2nmpikJD5oH_OoqM5p5Sm7oKVTxwaL9kynCuismVWP9BvyQ&__tn__=-R,"
????? ???? ???? ???????",agree
https://www.facebook.com/DailyProthomAlo/posts/2992623644104035?__xts__%5B0%5D=68.ARAMRi-ypKv8m9H879cPOXdR6Aeo0-_RBtnz-Uj-RceGu3xvGi_gN1JwwdDnRVD4xFnaA3IDPmQY1-t1H_oDt0kU-esqQeC7aymD9RPtgsFS6tzfboR22BYXudwtswHM_4qWCBBLxZtIsJU_09c17JHq_oYZqXPCd0XWefJRXx6CUVL8PjltB4UKTtabiuh9BRK1yc8lCgzm4E4mbNcgkBR-WVjPXlCb_Py3MUn5MnJtl-Uou00MZD2WcOaOyLKbox5i6WYsjY4PGCkGU7OM5SHyLeyES_1geVwwH91VKulNhBk_-q7fs6Cv-9uEmyC2KiArjDvQqa0annjTIiV7Ob0Pow&__tn__=-R,"
????????? ???? ???? ?? ???? ???? ?????, ??????? ?",agree
https://www.facebook.com/DailyProthomAlo/posts/2992598820773184?__xts__%5B0%5D=68.ARBcHG1ioHKLDCjrl97enpCdsHENRIH8BTzCOss1kUhMXwl1Qa82XtJx748LzSl8eulEa4cEKCQUzpl2O79v0tQivtvP6P7EjLcBJ8lLzdkJxoMAt0f7yvVXS9-tUXWi5FiJfB6FaLcuYWLnBTSnl55gAahXNlvOMne8R04j_EbIv8Fk3mE45kxjnNykyMP0Ls3hgptEgHtVoPntLCqgEIhQ_fXrEZ9pLlQxH33oMv2avEfb1iB-KXNX9BULKGMVaqJ683Z5x4KcgORAmNmAqubVQ7YKr8Z2I2tGaexUzjLCcGD_jFdrXdY6dfkWCDcDumLwJ7gkedxNZnQo173Mr27gTw&__tn__=-R,???????? ?????????? ????????? ???????? ??????,Discusses
https://www.facebook.com/DailyProthomAlo/posts/2992547337444999?__xts__%5B0%5D=68.ARDQGGX77RnO97_q_I7uKHfRaf55n4E51rxQNuzPk5rtkU62-gU7t7T_jd5s_ZnucmFmkHEdyczbVWQUo3HAhOm-7uAEJkRG08lo-REtL3_LwPzuQOzI-fgbYWfkx3K5UF0HS5ySrF2L5KaRxpUB106Blfbm-8lFzOb47QsOmbVdZnXmN_gVXiVE1BXadLpdY5Cx6f9xwMkZECs6euWL11iaXFDgg79_vmYNQV8ThN_hKtvW8INo0x_I2hGLCDNtUvkYzkOMYD8Xn0LcLe5w5wIUqknGl5ZIxf00FL6cqC6JMYSj7L5psij2W-cbvXjBLPNdoGjJYgqgujBrj4gq3E7wIA&__tn__=-R,"
??????? ????????? ??? ? ??? ????????: ?????",agree
https://www.facebook.com/DailyProthomAlo/posts/2992528680780198?__xts__%5B0%5D=68.ARBn4zg540ZJnpcePKu5wnKdbIcFBqGJ6vEHcuYAQn6TIUmfeXyRv_U6mpxA7ZzvuL_CiZrHjMhlrnp94PChX9yt3r-F8iAWffkDQ92PlpqzBdjGIQOWFY9KJ6Z_hGeIiYJcjxdVPTkBne-d3SO1s4yaHaZJ1XIBcOxNItBg4d6FAb0m6vksuX-f08-yPRZa8nqr6wtTOOgWm8eAN8pqtlfnBrRxXhqhdbmstzY9WDXX1tg3MzgWxmfjReWKrDaKL64kLPuNCPejUwLitS0vFHa2lLpq2bSD4oWACIakfuZQK9MT8zKexa7PMMk4d609dA4ds-qkZYYGN3fVZKN5TchABg&__tn__=-R,"
??????? ????? ??????? ?????? ?????? ??????? ????????",agree
https://www.facebook.com/DailyProthomAlo/posts/2992523950780671?__xts__%5B0%5D=68.ARDwPUwGMZcYYoa4cgewWz1WlxWu2itMg-dqadDPmzHkojKaJrT2kAtngYQdWbJQgUSQ0wuZJHaPnUGuojz6YXBnzkkewSCui8YKvVvBgM6Z3mNOHcUVKK91BaYfSh1LyeUXGJ_FMP1DcDMpOyIajuFc4DpLkOgpTMXcPaAwXgCW4pIYef7x2pkWzVySLCvByxD3JRUHMCg5BZGgfXvSQACYhqxr4QDbffNTI8SRHr8K7-fbBfzXOX4bzpBsU2r87lh-_9wXnZOGusIVxqmaegZVEjD-lB8wNDAtpXBhEC3Ql6MInabQG1_P69YaVXS6wcMXklPkw9d-xqNqGq9h6BFrqA&__tn__=-R,"
????? ????? ????? ?????? ????? ???",agree
