Link,Title,Valid
https://www.prothomalo.com/sports/article/1623938/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A6%95%E0%A7%87-%E0%A6%A8%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%AF%E0%A7%87-%E0%A6%95%E0%A6%A5%E0%A6%BE%E0%A6%9F%E0%A6%BE-%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A6%AC%E0%A6%BE%E0%A6%B0-%E0%A6%AC%E0%A6%B2%E0%A6%B2%E0%A7%87%E0%A6%A8-%E0%A6%B0%E0%A6%BE%E0%A6%B9%E0%A6%BE%E0%A6%A8%E0%A7%87?fbclid=IwAR3hL6YR9AxIS3XUcMRxsbRTanMd7MFee5L703c90eNkJIZ1i386xWNTlk8&h=AT1I28nZvth7y3kdJ3PhKpBbeAHVkNsWIMEFBTtotyNAYxOPc-wWoow4L2w3En0XeL32TAfuUctyxyanui37hXvz6TyMpXKZGzB8sWbMMGXrVlW2qyIAi5YUt-xVFORob3IjGkFg4T8byl1iV5SMGObS8ujGuML_945vdGiyWhkENROF9P4scMT_SyqIFU3EHbeh_xysKqicouF7UBn-B1kNqqqH4CRiZRgyTpUC2VE2R9p9r6O1452baKhnUFcpiuNZM3xFwQOcGubU2AN6v3i6cshzkymu_-9-jNz6ZRlnI7lwVQnHccCAfIC1NrCsTUEozFXv3x2bINUMvWvIWSnJ0bQu3cEMZEx44vZjeIuGnpRG_fYY4G2i2naMSZ2Jz5Ur50ES85KPRQsogVRiFiU4idP1sRYGwWCVNs7Ii-ULaTKrZ5p-xf-FkEjsy-DHbuOGWQ44jpRUnQVqk5ZXUB1_HovyOXfVOd7R5OOOi3AA-aQUShVu-CTiUv7YMnyStJDIsRlE7hi0WaoEU1QTCo9NCqDbRX5BfYLvuPfXhdb22dfyHPnS2r-ECVpJ-eNgKujh4r2dJSC5bfQjTJZ_Yo6HaGpVi7qwgNOrJb9gTIOF4CbwPW6WTb7vs-wAnw9QE3Of,"
?????????? ???? ?? ????? ?????? ????? ??????",Discusses
https://www.prothomalo.com/entertainment/article/1623926/%E0%A6%AE%E0%A6%BF%E0%A6%B2%E0%A6%B2-%E0%A6%AB%E0%A7%87%E0%A6%B2%E0%A7%81%E0%A6%A6%E0%A6%BE-%E0%A6%85%E0%A6%AA%E0%A7%87%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE-%E0%A6%A4%E0%A7%8B%E0%A6%AA%E0%A6%B8%E0%A7%87%E0%A6%B0?fbclid=IwAR2Bm2EXevVBqRz7NzJSGms1OuoEdYGSVF2M7ttwdLDQbI0GrVj6VwjcEac&h=AT2jo7bFxFVNIeFx2OWTnayq1DXPz9FP_0MiPUWmFplzIU-mBDf3AGflBCdYnu7e5KuLLxar6UkCgFmUYDcqouQeK02LQFZj3VkahYJ2EjeoaTXq1k9B43KjvhrPqxMJ2cG4OTFEM3aTu5_2c5FhIBJYipm6oCCbEsCKHgEi9rvksRYDtpqFpSv6jTfoCthegPD-pDMl0PJSPELwiEz3drTDHpyAxHJLtWBIYpR2cyKsaTK_s_ipQovr1E_ImhQjN6kU5Im_De6A-9cO-Qv_SeJhavQYmIXXZLSepPIwaPEY4gy6xmKpe558KQCmrdlM1Ib8HDz3-8iC0U-X_aLvCsWgGcxvZOHV8nEPk-xCqNeqltnfef-YTX4vgolzVNLA5BjWSicEjlHX-zinJ36bnhKBGWXv43oUimXt_hSBthzKZic73tgHlfcJzZ1_6Etex7ZXWyyXDXc2Ff1tN-olySiNmqFLT8J60-z1t8NTuck_d4im4VGQLo-qGmNAojRiM3jBY6vYzNrgLFFVel952knJvMsDgTQf70vi3OQMsH-C2U-anyT87DQt1snxvbf564j_rJgHSR4XNBukl6xJ3S-GkKyTPw6J1DWkvHXyh6xHU_EX_OkCvcO3LX5mlvuTiZ9p,"???? ??????, ??????? ??????",Discusses
https://www.prothomalo.com/bangladesh/article/1623946/%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A6%AE%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0-%E0%A6%96%E0%A7%8B%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%86%E0%A6%97%E0%A7%87-%E0%A6%9F%E0%A6%BE%E0%A6%95%E0%A6%BE-%E0%A6%A8%E0%A6%BF%E0%A6%B2%E0%A7%87-%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%B8%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%B8-%E0%A6%AC%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%B2?fbclid=IwAR0aPi-P4Se73GWCfVBHcJ7Nmktvh1ByoKHSMcquo8I4KpGRjuUmuLEtElg&h=AT1DIMyxRW7beG2O67zREVDmwzxUuiR7QIAwg6QGyiYoVuIAAPx4n1e1Rl1iGHyeSvlyY-ptXABwNcrMv_pLID2MPfzYSsUiLokTDji8a79MVHC2ggzYuQb4QPW8Hraw6u1Z0PFDwFpyqaxds5dDuOzpA-73FlQNm-y5TzCW6ZYU_GZS3YmkCIflI90RTt6x1UTVF-A1lmgVsoOcLMOGQvVqrh6W7JorUbFMzH9JfAAok1DCxK4CzV9-R496vc4653dzR6tDA5x3kunXdyiPcrvq_FLD1vGQlIz2yXYX1gkieXHh3Cv-iwy7DCv_bc0RkcxfFChTQz65H69d_3RgHfMIpZngAWIIaOoIiqJauFUFc8jkkac-5DlQFGHaY_EcxebgeF8BkJOOWlgtTE_amhesaNKJP4fxldAIllD0GGN4P-t0f1eekOlNfVLHezEMciNe9vmDv3ngRjAEStjx6JpYZ2LztY9Lv_cm2F2F7oXs7j5Wp9h9tuCvCqRmA_hBdpV9YYh_mA-c-MOZFDsziJ22Jv7BvQRHC8E0M6TdA4k54a-1hfuF4u7A5JRBbIi6Sa2ttrC5OtbfR-HWDqzabzKm4J-RBMNgxmvZdPExpiUHgXJKYehjh3pQnqk59s5w6t4J,"
????????? ????? ??? ???? ???? ???????? ?????",Discusses
https://www.prothomalo.com/international/article/1623952/%E0%A6%B0%E0%A6%BE%E0%A6%97%E0%A7%87-%E0%A6%B9%E0%A6%A4%E0%A6%BE%E0%A6%B6%E0%A6%BE%E0%A7%9F-%E0%A6%9F%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%97-%E0%A6%96%E0%A7%81%E0%A6%B2%E0%A7%87-%E0%A6%A4%E0%A6%BF%E0%A6%A8%E0%A6%BF-%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A7%87?fbclid=IwAR1477oEsz8n4xBkuVDhCBY0ecXvloFbdxr19yB_suhl26ivgZQREIhz1zk&h=AT3CSD4tgD25hv3Rr8CQjRC4nkIpE4bWMIl7FHSrtCxGddYl8DxXl763xZ9EZczBXRNYlzeQKhu2hGjW6M1oD4tvarUjc2Rsj_4f9JUJHy-HMwFDQppV8o6NF6WKIi7ZZOJV7_M3nv4PYmIJhKmMBwkgh33qT3KoLyYgsdZVMiylkyCvl4_QF_y1YCc8xOO72v4cEoPpwknkxDDDjcKvG2x_6BcwXBvgKCWqCaaqy3mwFZOX5JhYrUh9C39BFVDA6jaPqHakys2ho2dpFfugtR3s5QVIsVVK6HFaQr6N6om5vRxpIFGqWMgGiLTIFI6aw5sD7u8ml6QNcyxd12734EipccarKd154A83iFa-8kzphsyk3iFLVGaP7m1kMx4ZXTkzsKRtCI0tyEiX3XKjNRRYV8MhyKLIObx1TNseYx_a9eEwxjL4Ot7uQL-jKFXWBD-4EKKYHlql4E0mtqBw8ewU9LSNejXMnDxi1BiR7OE9WwGFQ8XTMFz-PiuIFd6pUclnVtzKFB27kw9pljT25xWyfos9Pz_fOFjRSF4Or_tgYxMkMbsXgC6Vh_fJuSA6lBCIqI5L-oG-CeYxYDNBivXb8HUNDkCm_KMn1mGolS_y61U_2uN9jYKw1cbQZLvFiXf6,????-?????? ????? ???? ???? ????,Discusses
https://www.prothomalo.com/bangladesh/article/1623950/%E0%A6%B2%E0%A6%BE%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A6%95%E0%A7%87-%E0%A6%86%E0%A6%B0-%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A6%AA%E0%A6%BE%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A7%87-%E0%A6%AA%E0%A7%87%E0%A6%B2%E0%A7%87%E0%A6%A8-%E0%A6%AE%E0%A7%87%E0%A7%9F%E0%A7%87%E0%A6%95%E0%A7%87?fbclid=IwAR1bWeg7nEM_Ybln4a0ZXHEzjAV-mrH1RbBwTtISeH7GHjkqDVZjh9aZbqg&h=AT3awWr9PBgI7LZuMAROtbpjZkFd2JXTfmSPhEAKl6YM28ec9CNI0wIaVQfC-ScVdn2oE3OyG9e5Roj1KdGRnJnAxLoQafGUJw3gwHIfbzKuUKyazxaVAqnBmzPk6nfXuwt5ZMgwOwS9x_lH2fLi_2kVbQJewbHtR9pEboisX0_E5hZIbBrmX9d8C3b_K0xygGrk5VoYUo81RUjs-IRKhmtH8QNxo9GzjQdv77RArYx7Uz8suZ7ckiNxSxWujnFdND4irjFzRmnK5_si5jeo_Nq8gakYB9wEolblujLbA2kW4gk_jGuupoPyOu7Ox7ERNEVoP7HjMSTQdPq7WGXLbVTqhhz8fC4kKb1HRg3teuT0bSnrRdQM6V1ioR4w6l_i29SCx-8s10RfjrvxVCNCDC4zMVTbgSeZToA-3luu5CBmfk4oYLyKBUNcMtwLqiTe4vJjKQcas4aP_PPpSma29llBFlXsTkva_8Ejhir8ul5pN_DOX2bqu4Ytp8E7AACkVomBYhjIVTL4Lrhz7A4107FCxb4tHjvSI5zb576C5A-oin7JL4Ze8Kcde97x5fMdMfmfbEMTxzoiS4cIIf_ZfmyDvKNLXB6jKO74Wcz9PWRqds9BfV-bqwSfIIMxi5y2goUC,????? ?????? ???????? ?? ????????? ????? ??????,Discusses
https://www.prothomalo.com/opinion/article/1623898/%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%B6%E0%A6%AE%E0%A6%BE%E0%A6%A8-%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%95%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A7%9F-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%82%E0%A6%95%E0%A7%87%E0%A6%B0-%E0%A6%AD%E0%A7%82%E0%A6%AE%E0%A6%BF%E0%A6%95%E0%A6%BE?fbclid=IwAR3GUKkX-07NOdRw0hbPP52SLeK8fkydfD8BZevj7Vt5k9Pb97g9n2mECdg&h=AT3t0bKGxx7p64vIQjZ0rD6O9IO91QzZgLc2ZymnwWRj4EdQ6cq0xUM-HerLJJeLQ_PhtwGdwo6X6Q7p1o1b70hSSTkT8g18YVzO_5zAOgo-uTOd8DMr-2p7Q8fDh8vNaJoVX9y4FoAWDqpBaKqlBCyOmgNqLtXboGl1NAyP9A_ZFJE-1sDG0J1ziCEgHyYCddhJuwat3TM9Oq3_TVeZB77BtTT3I0ferrrbs1LqOmoDyTHSEMDzm835ILX8mJpBJFmMDHKnk3KPtBqFQNJ1gJDVPVIvlvStwYZcjL7cUwn-Y0cxA9RyUHNpmsIwaGM6QgPdY1qp1ymzbfd9NxjFA55DLpbVy-bIhzhhGwjMstPYWsL8bNVaFvG7wTQINBSmSHdlPHniJ70AVrbengtzlKbEZCk8q75OfbdqHHocteuTrs5-2JNyWs2q_SJTYHR9iVU-ndGD9_zP8kVlJV52z57B5wdSPPaqWJsGrsxCN13nxYu7INdbWW84fL5clmOlZw1BniT6R24x2mGI50EOx-7Rf24Dtd8EZ73qHMCOxwdf_oJgAi5SrbXnZGN5kmFvMZgjGFQU6hPSVdds4_f-M3UKMAJtTp8d3jPghLCpB0h8ufDlzQym4IHoUSWfGMktUB1E,???????? ?????????? ????????? ???????? ??????,Discusses
https://www.prothomalo.com/bangladesh/article/1623922/%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A7%80%E0%A7%9F-%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%B0%E0%A6%BF-%E0%A6%B8%E0%A7%87%E0%A6%AC%E0%A6%BE-%E0%A7%AF%E0%A7%AF%E0%A7%AF-%E0%A6%A8%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%AF%E0%A6%BE-%E0%A6%AC%E0%A6%B2%E0%A6%B2%E0%A7%87%E0%A6%A8-%E0%A6%AA%E0%A6%BE%E0%A6%A0%E0%A6%95?fbclid=IwAR0Ri-cdnkWu435tT9GLtN7XktzUZsV8z6WW3Ggcb_ytoDuZyMHr4Y2TFDs&h=AT3AAkMwQ_MyA4IL-c5gCqsilSWeafU_HpTBIzHtdp-sd6WGOVUFKz8RlGGnUtohyz64RN_4FHikeQM6a8mgITgX5GeM4F6PiYRMAAFs7L05ft1GtafhztekDU_dHd7lsWK2y-QrBU78002qQORH6RVszTxFmgeFZ1IkPMrO36gpd6t-GUutYZKmEB6lMC24-DihaIJ2Xa0-lcYCeY6RUBnN5-QVQ0ZnWGECyg3ebcWlJy9uvg_OMN4hRbTZKisZS4vPA4VtwkIwPNd_tb5XlWB5Ja5dXNpvnQKSNEgRArWIIwTZZ7cOanWKN8dHEBoicmqUn8_HdRn1IBuiuv55RQwgKP-Sxm6UEe_Svs83hr96Wie9mhDxeYhrM-sxGLUftDPQRlBj1tqqBF4AhZeJ09kIDhJA_uVsWOSwH0q2UMRNNFL65rlpbsDWJAEzzhs1ugPQu1g80Knh_SbVZ7kmjC2GdmJUV1IEJFMLnjRFI9SdLRVv5Htkx6eLMQbZ8v89xZ1441s19YBjmID2k5GnVqvGV7t4AfEL7Gq1hAjEoHaf2Ke4pojQnsbAka4PN8Awr9R3X2SXPnKch6CzkLxosTVXes9x-_28KFNGmNvwQhN9EMPc-ag7dmZLihrJM8sWCO2P,????? ????? ???? ??? ???? ?? ????? ????,Discusses
https://www.prothomalo.com/bangladesh/article/1623899/%E0%A6%AC%E0%A6%BE%E0%A6%A8%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A6%9C%E0%A6%BE?fbclid=IwAR0NKkY8uatVUf_m1xU3bzo1_nF9rhm_1qXELy-BKsObgb3ZIF--n3WBQvc&h=AT3ipomep1A2mkOZjr49wO_ezx-eNLIenEHaHYGzO6hEApkHMsscyYuTsFGy3OENQwz86eVOzRPbQ6v1yFVllRnkjFdLu4jWdBk1f0Yd2omtn3qDR_WoaqpYGbnsJpXRnQ-Ee_t1VZS0JYcl_Yoju2-Gm1LuWUxYbYk6sUq9svNkAT-EYXE7-8iC5l7ED0l9iRzm6IpmUKToomp872lwHgJz1ZH9c7yDff6dqo8XHD31KQwBPAtN8Yg0b9pPTkINVki0RgSzs9EMC2DO-wbuc8shp-oYpJ91XEBpF-OWsqe2uP05i9RvOvDGwq8qk9K9zxHc5w7OlQEBYw_nDX6OTZ9a2vwdLo7uXZC3qz_kgqlSAxk0BTad1wqWYSgBFKo-70zqassv5iUY0urWmRVg-GJsKQCoOdBWVJ1a5BdDuhSxrCEF4vD4j9KDiPSaaQWhOlOHwkTZfss24HlhZV8P7_C02wI_sG-kEGiSFEsUueMML_xrnrAntYzx8mILGcvfEE3A1MfiQKbdVsumurXp5lbiqBFrhl767U5AzzrBXz7Aui4Lihehz2dlknfef-cVCC2c_s9_hbXkC9cxeUoZhKmagM7213P3-RVo4Y_J9zrBIzEJE_FKzehtlVIXpatYvtg8,"
?????? ???",Discusses
https://www.prothomalo.com/life-style/article/1623854/%E0%A6%A8%E0%A6%95%E0%A6%B6%E0%A6%BE-%E0%A6%AA%E0%A7%9C%E0%A7%87-%E0%A6%87%E0%A6%B8%E0%A6%B0%E0%A6%BE%E0%A6%A4%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%AA%E0%A7%8D%E0%A6%A8-%E0%A6%9C%E0%A7%9F?fbclid=IwAR3N0EigSdlvBnOsU_fx0W62xMqYyX-GEpi2-o_wwb-LfYy1BCGW1URb4ew&h=AT3f9yhPqS1M06NancNNj60QXF58EhhE67Ja7Uyobs5rAbfKlsfvsXpl3XH_lbRYfQg8CNQwm0dUtQtqXmzXBdZOeU16fMcHvp-L4G_uqVYbpzUxVinzX7vVE_uS776imndCukApdoKBLL-iLqoAKzrPFT9Zj6BbPMvXHFUl1L1niiuwKj57Zlj6uexBR7uRK3_hWTXA6tn5bY9-7i0YVKFls0OrHBzUj3pds8yfO3bX2vJcANKv8LSVrTalCR3NkCN6iSf5foU-a1JXj1yzR24F6EzmsM7FFqIguLcjWKS5jy63FJMtWU01CAS6s03MBtTuZfNupsN5D05vYzTfWsnqsg-1Yip4tJZ9pi6aeotNIuj6yWfaII5SiSpWekXTcgCLTbWrOFBO0AQUEsAFa2jjW5-wS_bE9kf_0xhn-FCUrk8m4gEj0MYBx9StEnqc1Bdpoc_85efm4oq7Vo_ZfahTN6bB3s6TzhYmX9Fkrp5F9XPyVKKiyScMg8TNzH4Fr_6g6aAY8S70y3gCsImcKoTYgbFNra-zn-f0EGXWJCrkJ286K6V6vQ02VjZEd13oJCZ4D1tRkwRQ9ODQd_js2USx8nREFBzlhia1zvfq6Sro4xnoz-_BSJMVcb6-pyBRqkJU,"
???? ??? ??????? ?????? ??",Unrelated
https://www.prothomalo.com/technology/article/1623892/%E0%A6%86%E0%A7%9F-%E0%A6%A8%E0%A6%BE-%E0%A6%B9%E0%A6%B2%E0%A7%87-%E0%A6%87%E0%A6%89%E0%A6%9F%E0%A6%BF%E0%A6%89%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%AA%E0%A6%A6?fbclid=IwAR1cxlzffBX75ohgO5--yxKG-DoRcZ2jkcYWkUrVaKYRMNnPOrWqww4-Wg0&h=AT3vLKwUdri8-Dxgms-AkVnaV9MIddojTy-iCafJRWbJHfvn6zd1MHwhn9RHALCGSxI4NG0y_8oxJyWabq6xru9x-OA5c1AoDhgE5Q7cQ_bl79rXJ78byk34OMzycTgg_OXSEuQaP8SR1VCTlQvyVIXW7KiRWohtj8GVEzuFNz3XNy5ew5lVVdDNhVrAGwKpVKVjlcYczDZF69PLZMuCDVrHaE83fIseg6ZTu7WM4T-ZmxALnw6GCcipycdBvza_yRMX2M9jUpHgl10w5Qlnh71T12hiBmKdix1WQyXWQ0awKD5nu6aQE-5l1k00WKuUMJx448YbsZkte0QpLcy6mH0EUcEuhC8N_e9ROM6tp46cm2-aVkVTKYrPYSFoDc4fp3uNAdn_Pk0dt1OB2Q6lb0NJUAAI1kxhA-LaGSfUT18JjKspyaFb8MX6gyA5D4I47xVS5JPoTN0LqZIVLUz2sVbs-aslA88rheykB8txtBCCobwBL_8093o-0VqhHNelSTMp6e413bFxtfzINcHda545tbRd7oog7ca0gp4NvKaYc86Y-wj6za0CzuCRbbLjAf1Di5n--tiq5S_2DZOUu9P30go5Gsf0thjIrFmdZjFND_sA2v6XsOtg7eS3LEwp1yHS,"
?? ?? ??? ??????????? ????",Discusses
