Link,Title,Valid
https://www.kalerkantho.com/online/national/2019/10/12/825653/,???? ??? ???? ???? ???? ????? ???????? ????,fake
https://www.muktocolumn.com/news/chittagong/article/3565,???????? ???????? ????? ? ???? ???? ???? ????? ???????? ????,fake
https://www.jagonews24.com/national/news/532556,????? ???????? ???? ? ???? ???? ???? ????? ???????? ????,fake
https://dbcnews.tv/news/,??????? ??????? ?????? ???? ‘?????’,fake
https://www.eurovisionbd.com/1660-2/,"?????? ???? ?????? ??????????, ?????? ????????? ????: ???????",fake
https://www.thebarta.com/archives/73987,"?????? ???? ?????? ??????????, ?????? ????????? ????: ???? ???? ?????? ???????",fake
https://www.bangladeshtoday.net/???-???????-????????-???/?fbclid=IwAR0cOet0NvWB5T2IZb_VfvwDKDKkOrE0tJI9U7VB6-3N34iSSAY5hW5vsCY,??? ??????? ???????? ?????? ???? ????? ?? ?????? ???? - ????? ????? ????,fake
http://bangladeshpress.com.bd/opinion/article/190127/???????-??-???????-????-???????-????-?????-????-????,??????? ?? ??????? ???? ??????? ???? ????? ????: ????,fake
https://www.ppbd.news/lead-news/87207,??? ??????? ???????? ?????? ???? ????? ?? ?????? ???? - ????? ????? ????,fake
https://www.sebahotnews.org/2019/01/tarique-rahman-is-falsely-blamed-for.html?utm_source=feedburner&utm_medium=twitter&utm_campaign=Feed%3A+sebahotnews+%28????+??+????+%7C+????+???????+???????%29#.XfiqMT7VLIU,???????? ???? ????? ??????? ?????? ?????? ??????? ???? ??????,fake
https://www.eurovisionbd.com/??-????-????-???????-????/,?? ???? ???? ??????? ?????? ??????? ?????? ????? ??????: ??? ?????? ???? ?????? :WRTP,fake
http://akhonsamoy.com/????-???????-??????????/,???? ??????? ?????????? ?????? ?????????????’? (WRTP) ??????? ??????? ???? ??????? ????? ??????,fake
https://newslife24.com/news/29088,???? ???????? ?????????? ??????? ????? ??????? ???? ????????? ???? ??? ?????? !,fake
https://www.dw.com/bn/????????-??????-???????-????-?????????/g-50679367,???????? ?????? ??????? ???? ?????????,fake
https://www.youtube.com/watch?feature=share&v=ooAzDWB1siA&app=desktop,??????????? ????? ???????? ????? ???? ??? ?????? ????? ??????????,fake
http://magurabarta24.com/14641-2/?utm_campaign=shareaholic,?????? ???? ??????? ???????? ??? ??????,fake
https://barishalcrimenews.com/???-???????-???????-????/,??? ??????? ???????:????????? ??? ???? ???? ?????? ???? ?????????,fake
https://deshreview.com/??????????-???-???????-?/,"?????????? ??? ??????? ???????, ????????? ??? ???? ???? ??????",fake
http://bangladeshpress.com.bd/politics/article/18022359/???-???????-???????-?????????-???-????-????-??????-????-?????????,??? ??????? ???????: ????????? ??? ???? ???? ?????? ???? ?????????,fake
http://www.bdsnews24.com/????????-???????-?????-????-????-???-???-?????/2764,???????? ??????? ????? ???? ???? ??? ??? (?????),fake
https://www.jugantor.com/country-news/234495/%E0%A6%B9%E0%A6%BE%E0%A6%AE%E0%A6%B2%E0%A6%BE-%E0%A6%A5%E0%A7%87%E0%A6%95%E0%A7%87-%E0%A6%B0%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE%E0%A7%9F-%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%BF%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A6%BE%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A7%9F-%E0%A6%B9%E0%A6%BE%E0%A6%9F%E0%A6%B9%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0%E0%A7%80-%E0%A6%AE%E0%A6%BE%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%B8%E0%A6%BE%E0%A6%9B%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%B0%E0%A6%BE,????? ???? ?????? ???????? ?????????? ????????? ???????????????,fake
https://dbcnews.tv/news/%E0%A6%B2%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%A6%E0%A7%8D%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A7%80%E0%A7%9F-%E0%A6%B8%E0%A6%B0%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A6%BF-%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE-%E2%80%98%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E2%80%99?fbclid=IwAR1O2iYDWuV0gOwoCtikBi8vjA9803jU6R5CO5WxHE-rWAujECN1CLMSN_o,??????? ??????? ?????? ???? ‘?????’,fake
https://banglarchokhprotidin.com/%e0%a6%a8%e0%a7%87%e0%a6%a6%e0%a6%be%e0%a6%b0%e0%a6%b2%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%a8%e0%a7%8d%e0%a6%a1%e0%a7%87-%e0%a6%ae%e0%a7%81%e0%a6%b8%e0%a6%b2%e0%a6%bf%e0%a6%ae%e0%a6%a6%e0%a7%87%e0%a6%b0/?fbclid=IwAR3nUgTUJZ1zRyNorezIZtz5kcCkhVYzl3_fHwSa5W2p_j5-6lmY1jDxPW0,????????????? ????????? ???? ???? ????? ‘????? ???????’,fake
https://www.bd-pratidin.com/mixter/2017/05/31/236484?fbclid=IwAR3u644FTI59FCAXKCm1-wwrU98RWk4SAQjXAI0LVZGlStFiWNcXKaFzw9k,???? ????? ???? ? ???? ?????? ???? ??????????,fake
https://worldnewsdailyreport.com/saudi-prince-loses-350-millions-and-5-of-his-wives-in-6-hours-at-the-casino/comment-page-2/?fbclid=IwAR1vkkN7HVmdTgsDHmx_26e6V40Y942fEXrC2eoWesxRdJav5W7ZRXj-hLU,Saudi Prince loses $350 millions and 5 of his wives in 6 hours at the casino,fake
https://www.bd-pratidin.com/international-news/2019/08/01/445133,????? ????? ?????????? ???? ?????: ???????,fake
https://www.jugantor.com/international/205738/%E0%A6%9C%E0%A6%BE%E0%A6%95%E0%A6%BF%E0%A6%B0-%E0%A6%A8%E0%A6%BE%E0%A7%9F%E0%A7%87%E0%A6%95-%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A7%9F%E0%A7%87%E0%A6%B6%E0%A6%BF%E0%A7%9F%E0%A6%BE%E0%A6%B0-%E0%A6%9C%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%B9%E0%A7%81%E0%A6%AE%E0%A6%95%E0%A6%BF-%E0%A6%AE%E0%A6%BE%E0%A6%B9%E0%A6%BE%E0%A6%A5%E0%A6%BF%E0%A6%B0,????? ????? ?????????? ??????: ???????,fake
https://www.banglamagazines.com/9372/%E0%A6%B6%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%A8%E0%A7%8B%E0%A6%AC%E0%A7%87%E0%A6%B2/,???????? ????? ?????????? ???? ????????????? ??? ??????? ??? ????????,fake
https://dailyvorersurjo.com/%E0%A6%B6%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%A8%E0%A7%8B%E0%A6%AC%E0%A7%87%E0%A6%B2-%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%87/,???????? ????? ?????????? ???? ????????????? ??? ??????? ??? ????????,fake
https://www.eurovisionbd.com/1660-2/,"?????? ???? ?????? ??????????, ?????? ????????? ????: ???????",fake
https://m.dailyhunt.in/news/india/bangla/anm+news-epaper-anmban/is+kaushalata+aage+jana+thakale+baba+hayato+strok+kare+mara+yeten+na-newsid-104054393,??! ?????? ??? ???? ????? ???? ???? ??????? ??? ???? ????? ??!,fake
https://newslife24.com/news/25012,????????? ?????? ?????? ?????-????????? ???? ?????,fake
https://www.jagonews24.com/law-courts/news/438528,??????? ???? ???? ??????????? ???? ????? : ????????,fake
https://www.bd-journal.com/international/34422/%E0%A6%AE%E0%A6%B8%E0%A6%9C%E0%A6%BF%E0%A6%A6-%E0%A6%AD%E0%A7%87%E0%A6%99%E0%A7%87-%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A7%87%E0%A6%AE%E0%A6%BE%E0%A6%B9%E0%A6%B2-%E0%A6%AC%E0%A6%BE%E0%A6%A8%E0%A6%BE%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A7%87%E0%A6%A8-%E0%A6%B8%E0%A7%8C%E0%A6%A6%E0%A6%BF-%E0%A6%AF%E0%A7%81%E0%A6%AC%E0%A6%B0%E0%A6%BE%E0%A6%9C,????? ???? ?????? ?? ????????? ???? ??????!,fake
